Title:,"Time Series, Area-Averaged of Carbon Dioxide, Mole Fraction in Free Troposphere monthly 2 x 2.5 (monthly)"
User Start Date:,2002-09-01T00:00:00Z
User End Date:,2012-02-29T23:59:59Z
User Bounding Box:,"21.7529,44.5166,40.6494,52.5146"
Data Bounding Box:,"22.5,46,40,52"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-09-01T00:00:00Z&endtime=2012-02-29T23:59:59Z&bbox=21.7529,44.5166,40.6494,52.5146&data=AIRX3C2M_005_mole_fraction_of_carbon_dioxide_in_free_troposphere&dataKeyword=Carbon%20dioxide&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3C2M_005_mole_fraction_of_carbon_dioxide_in_free_troposphere):, -9999

time, mean_AIRX3C2M_005_mole_fraction_of_carbon_dioxide_in_free_troposphere
2002-09-01 00:00:00,371.11898
2002-10-01 00:00:00,371.220815
2002-11-01 00:00:00,372.170089
2002-12-01 00:00:00,370.560588
2003-01-01 00:00:00,373.628383
2003-02-01 00:00:00,374.357742
2003-03-01 00:00:00,375.715967
2003-04-01 00:00:00,378.900333
2003-05-01 00:00:00,377.826332
2003-06-01 00:00:00,377.239104
2003-07-01 00:00:00,376.500223
2003-08-01 00:00:00,376.456376
2003-09-01 00:00:00,375.853619
2003-10-01 00:00:00,375.956641
2003-11-01 00:00:00,375.746973
2003-12-01 00:00:00,374.909715
2004-01-01 00:00:00,374.085445
2004-02-01 00:00:00,377.23235
2004-03-01 00:00:00,378.411854
2004-04-01 00:00:00,379.16377
2004-05-01 00:00:00,378.876436
2004-06-01 00:00:00,378.152998
2004-07-01 00:00:00,376.733521
2004-08-01 00:00:00,376.22517
2004-09-01 00:00:00,376.538371
2004-10-01 00:00:00,376.492431
2004-11-01 00:00:00,377.062406
2004-12-01 00:00:00,377.86216
2005-01-01 00:00:00,378.614497
2005-02-01 00:00:00,377.889957
2005-03-01 00:00:00,377.831989
2005-04-01 00:00:00,381.377468
2005-05-01 00:00:00,380.793854
2005-06-01 00:00:00,379.711154
2005-07-01 00:00:00,379.673261
2005-08-01 00:00:00,379.52026
2005-09-01 00:00:00,379.671917
2005-10-01 00:00:00,379.813782
2005-11-01 00:00:00,379.544134
2005-12-01 00:00:00,380.231408
2006-01-01 00:00:00,379.046733
2006-02-01 00:00:00,381.93159
2006-03-01 00:00:00,383.451031
2006-04-01 00:00:00,384.734402
2006-05-01 00:00:00,383.401477
2006-06-01 00:00:00,383.138947
2006-07-01 00:00:00,382.393649
2006-08-01 00:00:00,382.389189
2006-09-01 00:00:00,381.603079
2006-10-01 00:00:00,381.732525
2006-11-01 00:00:00,381.358017
2006-12-01 00:00:00,381.169424
2007-01-01 00:00:00,382.606405
2007-02-01 00:00:00,382.60119
2007-03-01 00:00:00,384.955551
2007-04-01 00:00:00,385.64058
2007-05-01 00:00:00,386.078842
2007-06-01 00:00:00,384.19616
2007-07-01 00:00:00,384.59241
2007-08-01 00:00:00,384.435767
2007-09-01 00:00:00,384.142471
2007-10-01 00:00:00,384.100324
2007-11-01 00:00:00,383.666235
2007-12-01 00:00:00,383.766364
2008-01-01 00:00:00,384.678144
2008-02-01 00:00:00,384.223454
2008-03-01 00:00:00,387.196461
2008-04-01 00:00:00,388.935801
2008-05-01 00:00:00,387.156711
2008-06-01 00:00:00,386.872797
2008-07-01 00:00:00,386.256962
2008-08-01 00:00:00,386.035269
2008-09-01 00:00:00,385.307892
2008-10-01 00:00:00,385.52784
2008-11-01 00:00:00,385.048014
2008-12-01 00:00:00,386.250627
2009-01-01 00:00:00,387.014366
2009-02-01 00:00:00,388.528443
2009-03-01 00:00:00,389.474448
2009-04-01 00:00:00,390.22088
2009-05-01 00:00:00,389.102119
2009-06-01 00:00:00,388.475452
2009-07-01 00:00:00,388.333899
2009-08-01 00:00:00,387.284969
2009-09-01 00:00:00,387.668579
2009-10-01 00:00:00,387.73265
2009-11-01 00:00:00,388.03747
2009-12-01 00:00:00,389.653151
2010-01-01 00:00:00,388.681266
2010-02-01 00:00:00,390.213152
2010-03-01 00:00:00,391.512556
2010-04-01 00:00:00,392.582162
2010-05-01 00:00:00,391.883679
2010-06-01 00:00:00,391.871858
2010-07-01 00:00:00,391.868286
2010-08-01 00:00:00,391.24109
2010-09-01 00:00:00,391.521339
2010-10-01 00:00:00,391.388245
2010-11-01 00:00:00,390.322702
2010-12-01 00:00:00,391.45567
2011-01-01 00:00:00,391.843013
2011-02-01 00:00:00,393.044106
2011-03-01 00:00:00,393.275016
2011-04-01 00:00:00,393.768065
2011-05-01 00:00:00,393.094976
2011-06-01 00:00:00,393.428335
2011-07-01 00:00:00,393.323013
2011-08-01 00:00:00,392.727848
2011-09-01 00:00:00,392.138845
2011-10-01 00:00:00,392.77183
2011-11-01 00:00:00,392.40595
2011-12-01 00:00:00,393.303505
2012-01-01 00:00:00,392.90019
2012-02-01 00:00:00,394.47866
